info: socket.io started
U: 344,	MR/S: 10261,	MS/S: 10261,	MR/S/U: 29.4,	MS/S/U: 29.4,	CPU: 64.7,	Mem: 1.9
U: 346,	MR/S: 10272,	MS/S: 10272,	MR/S/U: 29.2,	MS/S/U: 29.2,	CPU: 64.7,	Mem: 1.9
U: 348,	MR/S: 10134,	MS/S: 10134,	MR/S/U: 28.7,	MS/S/U: 28.7,	CPU: 64.7,	Mem: 2.0
U: 350,	MR/S: 10298,	MS/S: 10298,	MR/S/U: 29,	MS/S/U: 29,	CPU: 64.7,	Mem: 2.0
U: 352,	MR/S: 9953,	MS/S: 9953,	MR/S/U: 27.8,	MS/S/U: 27.8,	CPU: 64.7,	Mem: 2.0
U: 354,	MR/S: 10252,	MS/S: 10252,	MR/S/U: 28.5,	MS/S/U: 28.5,	CPU: 64.7,	Mem: 2.0
U: 356,	MR/S: 10310,	MS/S: 10310,	MR/S/U: 28.5,	MS/S/U: 28.5,	CPU: 64.6,	Mem: 2.0
U: 358,	MR/S: 10121,	MS/S: 10121,	MR/S/U: 27.9,	MS/S/U: 27.9,	CPU: 64.6,	Mem: 2.0
U: 360,	MR/S: 10158,	MS/S: 10158,	MR/S/U: 27.8,	MS/S/U: 27.8,	CPU: 64.6,	Mem: 2.0
U: 362,	MR/S: 10211,	MS/S: 10211,	MR/S/U: 27.8,	MS/S/U: 27.8,	CPU: 64.6,	Mem: 2.0
U: 364,	MR/S: 9945,	MS/S: 9945,	MR/S/U: 26.8,	MS/S/U: 26.8,	CPU: 64.6,	Mem: 2.0
U: 366,	MR/S: 10115,	MS/S: 10115,	MR/S/U: 27.2,	MS/S/U: 27.2,	CPU: 64.6,	Mem: 2.3
U: 368,	MR/S: 10314,	MS/S: 10314,	MR/S/U: 27.6,	MS/S/U: 27.6,	CPU: 64.6,	Mem: 2.3
U: 370,	MR/S: 10342,	MS/S: 10342,	MR/S/U: 27.5,	MS/S/U: 27.5,	CPU: 64.6,	Mem: 2.3
U: 372,	MR/S: 10283,	MS/S: 10283,	MR/S/U: 27.1,	MS/S/U: 27.1,	CPU: 64.6,	Mem: 2.3
U: 374,	MR/S: 10212,	MS/S: 10212,	MR/S/U: 26.8,	MS/S/U: 26.8,	CPU: 64.6,	Mem: 2.3
U: 376,	MR/S: 10254,	MS/S: 10254,	MR/S/U: 26.8,	MS/S/U: 26.8,	CPU: 64.6,	Mem: 2.3
U: 378,	MR/S: 9919,	MS/S: 9919,	MR/S/U: 26,	MS/S/U: 26,	CPU: 64.5,	Mem: 2.3
U: 380,	MR/S: 10420,	MS/S: 10420,	MR/S/U: 26.7,	MS/S/U: 26.7,	CPU: 64.5,	Mem: 2.3
U: 382,	MR/S: 10114,	MS/S: 10114,	MR/S/U: 26,	MS/S/U: 26,	CPU: 64.5,	Mem: 2.3
U: 384,	MR/S: 10258,	MS/S: 10258,	MR/S/U: 26.3,	MS/S/U: 26.3,	CPU: 64.5,	Mem: 2.3
U: 386,	MR/S: 10221,	MS/S: 10221,	MR/S/U: 26.1,	MS/S/U: 26.1,	CPU: 64.5,	Mem: 2.4
U: 388,	MR/S: 10237,	MS/S: 10237,	MR/S/U: 26,	MS/S/U: 26,	CPU: 64.5,	Mem: 2.4
U: 390,	MR/S: 9903,	MS/S: 9903,	MR/S/U: 25,	MS/S/U: 25,	CPU: 64.5,	Mem: 2.4
U: 392,	MR/S: 9757,	MS/S: 9757,	MR/S/U: 24.2,	MS/S/U: 24.2,	CPU: 64.5,	Mem: 2.4
